possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
108,green,692,719,28,0.47,111076.9,287.5,22.77,4,0,,0,,
142,white,790,801,12,0.2,125393.0,200.0,,0,0,,0,,
174,white,864,875,12,0.2,,200.0,,0,1,868,0,,
221,green,968,979,12,0.2,,614.7,,0,1,972,0,,
309,white,1160,1197,38,0.63,614622.5,437.2,-2.22,0,0,,0,,
310,green,1198,1241,44,0.73,53645.9,1548.5,3.21,2,1,1224,0,,
311,white,1242,1291,50,0.83,,200.0,,0,1,1284,0,,
314,white,1296,1305,10,0.17,,200.0,,0,1,1298,0,,
330,white,1394,1483,90,1.5,,200.0,,0,1,1476,0,,
345,white,1514,1531,18,0.3,,200.0,,0,1,1524,0,,
347,green,1534,1553,20,0.33,,328.5,,0,0,,0,,
348,white,1554,2133,580,9.68,,229.2,,0,1,1556,0,,
349,green,2134,2207,74,1.23,,975.4,,0,1,2138,0,,
383,white,2278,2287,10,0.17,,200.0,,0,0,,0,,
386,green,2292,2341,50,0.83,256874.5,334.6,,0,1,2334,0,,
387,white,2342,2345,4,0.07,,138.4,,0,0,,0,,
388,green,2346,2353,8,0.13,130375.0,622.5,,0,1,2350,0,,
389,white,2354,2357,4,0.07,2999.5,138.4,,0,0,,0,,
390,green,2358,2361,4,0.07,256874.5,264.2,,0,1,2360,0,,
391,white,2362,2373,12,0.2,,290.9,,0,1,2366,0,,
403,white,2396,2407,12,0.2,,200.0,,0,1,2400,0,,
408,white,2416,2439,24,0.4,,1147.7,,0,1,2418,0,,
469,green,2600,2611,12,0.2,256874.5,290.9,,0,1,2604,0,,
491,white,2654,2681,28,0.47,81753.5,412.0,,0,1,2674,0,,
511,white,2728,2739,12,0.2,,200.0,,0,0,,0,,
572,green,3654,3665,12,0.2,,267.4,,0,1,3658,0,,
630,white,3780,3795,16,0.27,,132.7,,0,0,,0,,
631,green,3796,3797,2,0.03,,3025.3,,0,0,,0,,
632,white,3798,3809,12,0.2,,168.6,,0,1,3802,0,,
655,white,3854,3865,12,0.2,71647.0,179.7,,0,1,3862,0,,
656,green,3866,3901,36,0.6,123608.0,228.7,,0,0,,0,,
701,green,4138,4167,30,0.5,,200.0,,0,0,,0,,
711,green,4186,4197,12,0.2,,417.0,,0,0,,0,,
712,white,4198,4207,10,0.17,614622.5,1517.2,,0,0,,0,,
713,green,4208,4227,20,0.33,384371.8,138.4,,0,0,,0,,
714,white,4228,4247,20,0.33,327906.0,2742.8,,0,0,,0,,
715,green,4248,4259,12,0.2,,277.9,,0,0,,0,,
794,white,4416,4419,4,0.07,165452.8,573.0,,0,0,,0,,
795,green,4420,4439,20,0.33,124925.0,1080.6,,0,0,,0,,
796,white,4440,4479,40,0.67,2999.5,1160.8,,0,0,,0,,
809,green,4504,4521,18,0.3,,669.4,,0,1,4514,0,,
820,white,4542,4625,84,1.4,212530.0,915.3,,0,0,,0,,
829,green,4642,4653,12,0.2,,168.6,,0,0,,0,,
830,white,4654,4667,14,0.23,278156.0,456.3,,0,0,,0,,
838,white,4682,4705,24,0.4,278156.0,899.2,,0,0,,0,,
842,white,4712,4727,16,0.27,,836.9,,0,0,,0,,
873,white,4788,4815,28,0.47,,1625.4,-0.87,0,0,,0,,
1154,white,5376,5387,12,0.2,,701.6,-1.53,0,1,5380,0,,
1157,green,5392,5431,40,0.67,,387.0,,0,0,,0,,
1166,white,5448,5457,10,0.17,,549.5,-6.56,0,0,,0,,
1212,white,5548,5637,90,1.5,81194.0,359.2,,0,0,,0,,
1278,green,5768,5789,22,0.37,282470.4,453.6,,0,0,,0,,
1290,green,5812,5817,6,0.1,256874.5,731.9,,0,0,,0,,
1291,white,5818,5837,20,0.33,47580.0,251.4,,0,0,,0,,
1316,green,5886,5893,8,0.13,256874.5,1045.0,,0,0,,0,,
1317,white,5894,5905,12,0.2,,242.8,,0,0,,0,,
1320,green,5910,5921,12,0.2,256874.5,481.7,,0,0,,0,,
1335,green,5950,5961,12,0.2,409692.0,277.9,,0,0,,0,,
1346,green,5982,5993,12,0.2,220980.7,277.9,,0,0,,0,,
1548,white,6396,6415,20,0.33,,1086.8,25.37,4,0,,0,,
1551,white,6420,6437,18,0.3,,998.1,-27.84,3,0,,0,,
1601,green,6536,6561,26,0.43,266807.7,554.5,,0,1,6554,0,,
1662,white,6682,6705,24,0.4,,853.5,,0,1,6686,0,,
1693,green,6766,6805,40,0.67,201936.8,358.6,,0,0,,0,,
1872,green,7168,7227,60,1.0,359238.0,784.2,,0,0,,0,,
1897,white,7276,7307,32,0.53,,627.3,,0,0,,0,,
2068,white,7712,7747,36,0.6,349634.6,481.9,4.38,1,0,,0,,
2107,white,7824,7835,12,0.2,,481.7,,0,0,,0,,
2132,green,7884,7927,44,0.73,,457.5,,0,0,,0,,
2169,green,8000,8055,56,0.93,,200.0,,0,0,,0,,
2396,white,8512,8527,16,0.27,,200.0,,0,0,,0,,
2411,white,8556,8581,26,0.43,204963.0,301.1,,0,0,,0,,
2450,white,8684,8699,16,0.27,,200.0,,0,0,,0,,
2451,green,8700,8703,4,0.07,,1497.9,,0,0,,0,,
2452,white,8704,8731,28,0.47,,714.7,,0,0,,0,,
2548,green,8922,8945,24,0.4,126394.0,200.0,,0,0,,0,,
2559,green,8966,8977,12,0.2,,1062.8,,0,1,8970,0,,
2570,white,8998,9069,72,1.2,128738.5,200.5,,0,0,,0,,
2632,green,9192,9235,44,0.73,117161.0,847.1,,0,0,,0,,
2633,white,9236,9287,52,0.87,108926.2,231.9,,0,0,,0,,
2763,green,9546,9557,12,0.2,,277.9,,0,0,,0,,
2766,green,9562,9593,32,0.53,,346.1,,0,0,,0,,
